college,college_code,course,course_code,regulation,semester,subject_code,subject_name,credits,category,elective_type,record_type
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,IP22151,Induction Programme,0,MC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,HS22151,Tamil Language and Heritage of Ancient Tamil Society,1,HS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,HS22152,Communicative English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,MA22151,Applied Mathematics I,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,PH22151,Applied Physics,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,CY22151,Applied Chemistry,3,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,EE22151,Basic Electrical and Electronics Engineering,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,IT22101,Programming for Problem Solving,3,ES,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,PH22161,Physics Laboratory,1,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,EE22111,Basic Electrical and Electronics Engineering Laboratory,1,ES,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,1,IT22111,Programming for Problem Solving Laboratory,1.5,ES,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,HS22251,Science and Technology in Ancient Tamil Society,2,HS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,HS22252,Technical English,3,HS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,MA22251,Applied Mathematics II,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,ME22251,Technical Drawing,2,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,CS22201,Python For Data Science,4,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,CS22202,Digital Principles and System Design,3,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,CS22203,Object Oriented Programming,3,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,CS22211,Digital Principles and System Design Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,2,CS22212,Object Oriented Programming Laboratory,1.5,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,3,MA22353,Discrete Mathematics,4,BS,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,3,AD22301,Artificial Intelligence,3,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,3,CS22301,Database Management Systems,3,PC,,core
Sri Venkateswara College of Engineering,SVCE,Computer Science Engineering,CSE,R2022,3,CS22302,Datamining and Data Warehousing,3,PC,,core
